service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
115101_merged_1638489,20230626,20230903,0,0,0,0,0,0,0
53501_merged_1638539,20230904,20240303,0,0,0,0,0,0,0
24202_merged_1638527,20230626,20230903,0,0,0,0,0,0,0
4501_merged_1638519,20230626,20230903,0,0,0,0,0,0,0
10903_merged_1638528,20230626,20230903,0,0,0,0,0,0,0
4501_merged_1638565,20230904,20240303,0,0,0,0,0,0,0
177304,20230904,20240303,0,0,0,0,0,0,0
53101_merged_1638576,20230904,20240303,0,0,0,0,0,0,0
177301,20230626,20230903,0,0,0,0,0,0,0
177302,20230626,20230903,0,0,0,0,0,0,0
177303,20230626,20230903,0,0,0,0,0,0,0
31103_merged_1638554,20230904,20240303,0,0,0,0,0,0,0
155401_merged_1638534,20230904,20240303,0,0,0,0,0,0,0
35001_merged_1638495,20230626,20230903,0,0,0,0,0,0,0
53401_merged_1638537,20230904,20240303,0,0,0,0,0,0,0
3102_merged_1638502,20230626,20230903,0,0,0,0,0,0,0
177501_merged_1638543,20230904,20240303,0,0,0,0,0,0,0
179101_merged_1638520,20230626,20230903,0,0,0,0,0,0,0
50101_merged_1638555,20230904,20240303,0,0,0,0,0,0,0
75301,20230626,20230903,0,0,0,0,0,0,0
35001_merged_1638541,20230904,20240303,0,0,0,0,0,0,0
50201_merged_1638490,20230626,20230903,0,0,0,0,0,0,0
27502_merged_1638569,20230904,20240303,0,0,0,0,0,0,0
2_merged_1638521,20230626,20230903,0,0,0,0,0,1,0
157603_merged_1638544,20230904,20240303,0,0,0,0,0,0,0
115701_merged_1638556,20230904,20240303,0,0,0,0,0,0,0
3103_merged_1638549,20230904,20240303,0,0,0,0,0,0,0
10902_merged_1638575,20230904,20240303,0,0,0,0,0,0,0
157605_merged_1638562,20230904,20240303,0,0,0,0,0,0,0
22301_merged_1638506,20230626,20230903,0,0,0,0,0,0,0
202_merged_1638559,20230904,20240303,0,0,0,0,0,0,0
50301_merged_1638500,20230626,20230903,0,0,0,0,0,0,0
126201_merged_1638526,20230626,20230903,0,0,0,0,0,0,0
125101_merged_1638515,20230626,20230903,0,0,0,0,0,0,0
53501_merged_1638493,20230626,20230903,0,0,0,0,0,0,0
1_merged_1638550,20230904,20240303,1,1,1,1,1,0,0
177403,20230626,20230903,0,0,0,0,0,0,0
177402,20230626,20230903,0,0,0,0,0,0,0
177401,20230626,20230903,0,0,0,0,0,0,0
177404,20230904,20240303,0,0,0,0,0,0,0
177501_merged_1638497,20230626,20230903,0,0,0,0,0,0,0
31101,20230904,20240303,0,0,0,0,0,0,0
157605_merged_1638516,20230626,20230903,0,0,0,0,0,0,0
24201_merged_1638517,20230626,20230903,0,0,0,0,0,0,0
203_merged_1638533,20230904,20240303,0,0,0,0,0,0,0
6303,20230904,20240303,0,0,0,0,0,0,0
6302,20230904,20240303,0,0,0,0,0,0,0
24202_merged_1638573,20230904,20240303,0,0,0,0,0,0,0
52901_merged_1638532,20230626,20230903,0,0,0,0,0,0,0
3101_merged_1638501,20230626,20230903,0,0,0,0,0,0,0
6501_merged_1638524,20230626,20230903,0,0,0,0,0,0,0
22101_merged_1638511,20230626,20230903,0,0,0,0,0,0,0
