stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.077474,0,13356,-76.123422,,,,,Teall Ave & Short St,0,13356,
43.045006,0,11542,-76.17648,,,,,S Wilbur Ave & Conservation Pl,0,11542,
43.045893,0,11543,-76.177343,,,,,S Wilbur Ave & Coleridge Ave,0,11543,
43.040341,0,11541,-76.174621,,,,,S Wilbur Ave & Amy St,0,11541,
43.038237,0,11544,-76.147504,,,,,Burt St & S State St,0,11544,
43.02643,0,5989,-76.138059,,,,,E Colvin St & Benedict Ave,0,5989,
43.025639,0,5982,-76.133323,,,,,E Colvin St & Hughes Pl,0,5982,
43.025841,0,5983,-76.119432,,,,,Meadowbrook Dr & Kensington Pl,0,5983,
43.026073,0,5980,-76.119345,,,,,Meadowbrook Dr & Kensington Pl,0,5980,
43.02634,0,5986,-76.137393,,,,,E Colvin St & Moore Ave,0,5986,
43.026349,0,5985,-76.13701,,,,,E Colvin St & Moore Ave,0,5985,
43.061226,0,6797,-76.091126,,,,,Burnet Ave & Burns Ave,0,6797,
43.061296,0,6795,-76.090089,,,,,Burnet Ave & Boston St,0,6795,
42.995933,0,16253,-76.12072,,,,,Barret Manor,0,16253,
43.136228,0,16250,-76.126196,,,,,Malta Manor,0,16250,
43.025945,0,16257,-76.158846,,,,,South Ave & E Bissel St,0,16257,
43.03521,0,16256,-76.158933,,,,,SW Community Center,0,16256,
42.933382,0,16704,-76.556104,,,,,E Genesee St & Chestnut St,0,16704,
42.933564,0,16707,-76.551263,,,,,E Genesee St & Sherman St,0,16707,
42.933506,0,16706,-76.552976,,,,,E Genesee St & Morris St,0,16706,
43.04342,0,12010,-76.064119,,,,,Widewaters Pkwy & Kinne Rd,0,12010,
43.072532,0,10708,-76.133714,,,,,Grant Blvd & Pleasantview Ave,0,10708,
43.038485,0,9524,-76.075508,,,,,Jewish Home of CNY,0,9524,
43.083174,0,10701,-76.129845,,,,,Lyncourt Dr & Court St,0,10701,
43.023,0,9520,-76.125975,,,,,Colvin Lot,0,9520,
43.029657,0,10619,-76.142334,,,,,Garfield Ave & Woodland Ave,0,10619,
