block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_253515,0,19447,0,0,72 Townsend,136757,2_merged_1638521,1603858,
a_253548,0,19447,0,1,72 Townsend to Hub,136760,2_merged_1638521,1603859,
a_255300,0,19463,0,0,901 State Fair-Hub,136947,177202,1619561,
a_255300,0,19463,0,0,901 State Fair-Hub,136947,177202,1619560,
a_255300,0,19463,0,0,901 State Fair-Hub,136947,177202,1619563,
a_255300,0,19463,0,0,901 State Fair-Hub,136947,177202,1619562,
a_255301,0,19463,0,0,901 State Fair-Hub,136947,177202,1619565,
a_255301,0,19463,0,0,901 State Fair-Hub,136947,177202,1619564,
a_255301,0,19463,0,0,901 State Fair-Hub,136947,177202,1619567,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616659,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616656,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616657,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616654,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616655,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616652,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616653,
a_254990,0,19459,0,0,582 Orange Lot,136937,177402,1616650,
a_254991,0,19459,0,0,582 Orange Lot,136937,177402,1616651,
a_253946,0,19490,0,1,111 New York Mills To Hub,137141,2_merged_1638521,1607070,
a_253942,0,19490,0,0,111 New York Mills - Consumer Sq - Sangertown,137137,1_merged_1638504,1607071,
a_253942,0,19490,0,0,111 New York Mills - Consumer Sq - Sangertown,137137,1_merged_1638504,1607072,
a_253935,0,19490,0,0,111 New York Mills - Consumer Sq - Sangertown,137137,1_merged_1638504,1607073,
a_253438,0,19437,0,1,40 Syracuse University to Hub,136584,1_merged_1638504,1603009,
a_253567,0,19437,0,1,40 Syracuse University to Hub,136603,1_merged_1638504,1603008,
a_253941,0,19490,0,0,111 New York Mills - Consumer Sq - Sangertown,137137,1_merged_1638504,1607076,
a_253941,0,19490,0,0,111 New York Mills - Consumer Sq - Sangertown,137139,1_merged_1638504,1607077,
a_253561,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603005,
a_253562,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603004,
a_253561,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603007,
a_253561,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603006,
a_253562,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603001,
a_253530,0,19437,0,1,240 SU - Nob Hill to Hub,136594,1_merged_1638504,1603000,
a_253562,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603003,
a_253562,0,19437,0,1,340C Drumlins - SU Connector,136600,3101_merged_1638501,1603002,
b_255548,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622163,
b_255548,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622162,
b_255426,0,19689,0,1,344 South Campus,138351,50101_merged_1638555,1622161,
b_255502,0,19689,0,1,344 South Campus,138351,3101_merged_1638547,1622160,
b_255548,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622167,
b_255548,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622166,
b_255548,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622165,
b_255548,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622164,
b_255315,0,19629,0,1,3 North Street To Downtown,138186,2_merged_1638567,1619820,
b_255547,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622169,
b_255547,0,19690,0,0,345 Thurber St,138353,3101_merged_1638547,1622168,
b_255319,0,19629,0,0,3 North Street - Walmart,138184,1_merged_1638550,1619821,
b_255579,0,19700,0,0,40 Syracuse University,138554,1_merged_1638550,1623560,
b_255702,0,19700,0,0,40 Syracuse University,138554,1_merged_1638550,1623561,
b_255702,0,19700,0,0,40 Syracuse University,138554,1_merged_1638550,1623562,
b_255702,0,19700,0,0,40 Syracuse University,138554,1_merged_1638550,1623563,
b_255665,0,19700,0,0,140 SU - Thurber,138553,1_merged_1638550,1623564,
b_255701,0,19700,0,0,340 SU - Drumlins,138544,1_merged_1638550,1623565,
b_255694,0,19700,0,0,340 SU - Drumlins,138544,1_merged_1638550,1623566,
b_255694,0,19700,0,0,340 SU - Drumlins,138544,1_merged_1638550,1623567,
